,,      Number of Exemptions      ,,,Salaries and Wages   ,,Taxable Interest,,Total Tax,,Schedule C, Schedule F  , Schedule A 
,,,,Adjusted,,,,,,,,,
Adjusted Gross,Number of,,Dependent,Gross,Number of,,Number of,,Number of,,Number of,Number of,Number of
Income Size,Returns,Total,Exemptions,Income,Returns,Amount,Returns,Amount,Returns,Amount,Returns,Returns,Returns
,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13
CALIFORNIA - Total,"14,443,333","31,680,144","10,268,893","781,907,698","12,204,020","570,055,166","7,439,632","24,925,954","10,797,465","117,235,254","2,319,338","114,604","5,717,432"
"Under $10,000        ","2,572,243","3,173,843","817,221","1,423,223","1,917,774","11,024,771","725,893","1,484,359","663,264","169,912","409,142","56,522","177,451"
"$10,000 under $25,000","3,648,755","7,464,133","2,490,282","62,330,254","3,010,603","48,856,253","1,151,742","2,060,610","2,331,762","2,501,358","465,809","9,483","485,327"
"$25,000 under $50,000","3,596,552","8,188,200","2,770,347","130,036,959","3,161,276","107,336,684","1,779,696","3,099,327","3,218,517","10,215,735","489,641","12,335","1,291,435"
"$50,000 or more      ","4,625,783","12,853,968","4,191,043","588,117,262","4,114,367","402,837,458","3,782,301","18,281,658","4,583,922","104,348,249","954,746","36,264","3,763,219"
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90000,34,69,23,"1,404",25,"1,154",10,24,18,223,12,--        ,11
"Under $10,000        ",*       19,*       38,*       13,*        186,*       12,*        155,*       10,*       24,--        ,--          ,*       12,--        ,**        
"$10,000 under $25,000",**        ,**        ,**        ,**          ,**        ,**          ,--        ,--        ,**        ,**          ,**        ,--        ,*       11
"$25,000 under $50,000",*       15,*       31,*       10,"*      1,218",*       13,*        999,**        ,**        ,*       18,*        223,**        ,--        ,**        
"$50,000 or more      ",**        ,**        ,**        ,**          ,**        ,**          ,**        ,**        ,**        ,**          ,**        ,--        ,**        
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90001,"15,952","41,684","20,642","323,732","14,431","299,310","2,954","3,075","6,854","15,138","1,818",--        ,"2,759"
"Under $10,000        ","3,670","6,872","2,921","10,153","2,908","16,545",337,185,464,78,735,--        ,84
"$10,000 under $25,000","7,757","20,368","10,323","129,616","7,147","116,964","1,061",606,"2,876","2,409",756,--        ,812
