,,      Number of Exemptions      ,,,Salaries and Wages   ,,Taxable Interest,,Total Tax,,Schedule C,Schedule F  , Schedule A Deductions 
,,,,Adjusted,,,,,,,,,
Adjusted Gross,Number of,,Dependent,Gross,Number of,,Number of,,Number of,,Number of,Number of,Number of
Income Size,Returns,Total,Exemptions,Income,Returns,Amount,Returns,Amount,Returns,Amount,Returns,Returns,Returns
,-1,-2,-3,-4,-5,-6,-7,-8,-11,-12,-13,-15,-17
CALIFORNIA           ,"13,725,951","27,702,925","9,567,318","652,392,740","11,533,433","463,219,144","7,341,461","21,478,760","11,027,194","103,065,494","2,219,515","73,953","4,937,133"
"Under $10,000        ","2,796,427","3,369,023","1,060,899","1,549,688","2,130,274","11,821,075","807,976","1,358,812","1,111,287","542,823","415,153","11,763","148,501"
"$10,000 under $25,000","3,749,545","7,110,164","2,556,849","63,372,846","3,104,277","49,712,842","1,349,880","2,240,564","2,866,436","3,732,439","458,548","11,462","462,682"
"$25,000 under $50,000","3,385,694","7,254,591","2,530,261","122,051,940","2,967,484","99,823,884","1,935,737","3,166,547","3,263,798","11,695,327","497,675","14,756","1,245,579"
"$50,000 or more      ","3,794,285","9,969,147","3,419,309","465,418,266","3,331,398","301,861,343","3,247,868","14,712,837","3,785,673","87,094,905","848,139","35,972","3,080,371"
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90000,20,34,11,"1,021",16,546,**        ,**        ,19,209,**        ,--        ,**        
"Under $10,000        ",*       10,*       13,*        4,*         95,**,**,**        ,**        ,**        ,**          ,**        ,--        ,**        
"$10,000 under $25,000",**        ,**        ,**        ,**          ,*       16,*        546,--        ,--        ,**        ,**          ,--        ,--        ,**        
"$25,000 under $50,000",*       10,*       21,*        7,*        926,**,**,**        ,**        ,*       19,*        209,**        ,--        ,**        
"$50,000 or more      ",**        ,**        ,**        ,**          ,**        ,**          ,**        ,**        ,**        ,**          ,**        ,--        ,**        
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90001,"14,818","37,531","18,773","284,300","13,521","251,512","3,045","3,260","8,133","19,539","1,468",**        ,"2,269"
"Under $10,000        ","4,117","7,779","3,571","20,673","3,410","19,220",375,277,"1,185",674,672,--        ,91
"$10,000 under $25,000","7,353","19,033","9,704","120,468","6,881","110,828","1,285",703,"3,988","3,817",588,--        ,769
