,Number of returns,Number of exemptions,,Adjusted Gross Income,Salaries and Wages,,Taxable Interest,,Total Tax,,Schedule C Net Profit/Loss,Schedule F Net Profit/Loss,Total Itemized Deductions
ZIP Code  & ,,Total,Dependent Exemptions,,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Number of returns,Number of returns
Size of Adjusted,,,,,,,,,,,,,
Gross Income,(1),(2),(3),(4),(5),(6),(7),(8),(34),(35),(13),(15),(21)
,,,,,,,,,,,,,
Total,"14,991,003","32,247,039","11,493,122","950,689,031","12,520,489","643,027,163","7,029,902","21,217,889","11,190,854","133,624,632","2,674,498","57,183","6,033,282"
"Under $10,000        ","2,480,606","3,536,028","789,696","-967,886","1,768,130","10,752,981","618,230","925,777","870,240","476,389","491,654","8,737","129,693"
"$10,000 under $25,000","3,592,604","7,000,929","2,673,536","61,770,241","2,940,680","48,388,385","916,949","1,290,864","2,272,667","2,506,694","547,106","5,756","481,306"
"$25,000 under $50,000","3,684,528","8,116,768","3,185,213","133,248,163","3,223,260","110,133,108","1,487,541","1,994,457","2,965,307","8,530,732","531,669","9,475","1,263,532"
"$50,000 under $75,000","2,010,734","4,814,966","1,749,289","123,558,379","1,757,975","98,547,680","1,282,744","1,996,527","1,887,247","10,770,179","358,845","8,891","1,275,035"
"$75,000 under 100,000","1,194,793","3,124,813","1,101,685","103,318,502","1,058,470","81,490,030","919,937","1,651,848","1,173,831","10,266,083","243,121","5,721","975,735"
"$100,000 or more     ","2,027,738","5,653,535","1,993,703","529,761,632","1,771,974","293,714,979","1,804,501","13,358,416","2,021,562","101,074,555","502,103","18,603","1,907,981"
,,,,,,,,,,,,,
90001,"17,313","45,624","23,444","406,784","15,336","358,687","2,871","1,389","8,524","17,266","2,538",0,"3,007"
"Under $10,000        ","3,425","6,305","2,477","19,110","2,516","15,174",287,140,"1,233",790,908,0,78
"$10,000 under $25,000","7,933","20,600","10,943","135,256","7,119","118,879",878,325,"3,383","3,453","1,143",0,668
"$25,000 under $50,000","4,768","14,662","7,895","164,134","4,580","154,672","1,137",389,"2,839","5,492",370,0,"1,508"
"$50,000 under $75,000",948,"3,245","1,723","55,745",912,"51,779",419,196,831,"3,225",86,0,576
"$75,000 under $100,000",157,572,305,"13,138",145,"11,559",86,39,156,"1,135",18,0,110
"$100,000 or more     ",82,240,101,"19,401",64,"6,624",64,300,82,"3,171",13,0,67
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90002,"14,712","38,545","20,336","331,533","13,048","294,916","2,399","1,015","7,069","12,856","2,350",0,"3,014"
"Under $10,000        ","3,219","6,180","2,685","17,308","2,495","14,465",199,67,"1,133",737,858,0,76
"$10,000 under $25,000","6,582","17,213","9,374","112,031","5,859","96,521",751,309,"2,762","3,034","1,087",0,774
"$25,000 under $50,000","3,920","11,831","6,529","134,673","3,745","125,112",973,380,"2,300","4,435",319,0,"1,443"
"$50,000 under $75,000",783,"2,616","1,400","46,599",759,"43,294",348,177,671,"2,594",54,0,551
"$75,000 under $100,000",141,465,226,"12,001",133,"9,896",81,44,136,947,14,0,114
"$100,000 or more     ",67,240,122,"8,921",57,"5,628",47,38,67,"1,109",18,0,56
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90003,"19,683","50,694","26,385","429,568","17,203","376,900","3,033","1,295","9,526","17,693","3,489",0,"3,562"
"Under $10,000        ","4,456","8,503","3,635","24,664","3,323","19,631",311,142,"1,633","1,124","1,295",0,134
"$10,000 under $25,000","9,083","23,336","12,616","153,499","8,048","132,552",989,233,"3,897","4,322","1,565",0,958
"$25,000 under $50,000","4,993","15,082","8,200","171,001","4,735","157,756","1,193",432,"2,946","5,920",497,0,"1,715"
"$50,000 under $75,000",906,"2,983","1,561","53,751",875,"49,308",391,152,809,"3,175",87,0,559
"$75,000 under $100,000",174,577,285,"14,590",161,"12,541",95,134,172,"1,189",25,0,135
"$100,000 or more     ",71,213,88,"12,063",61,"5,112",54,202,69,"1,963",20,0,61
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90004,"24,238","48,321","17,260","1,265,378","19,579","781,179","7,066","38,506","17,372","189,578","6,247",*         ,"5,375"
"Under $10,000        ","5,432","7,868","1,829","15,405","3,188","19,380",907,"1,034","2,702","1,807","2,237",0,140
"$10,000 under $25,000","8,333","17,018","6,867","142,618","7,042","116,860","1,342","1,748","5,373","6,400","1,833",0,612
"$25,000 under $50,000","6,062","13,197","5,113","211,832","5,620","188,346","1,745","2,406","4,976","13,734","1,019",0,"1,435"
"$50,000 under $75,000","1,862","4,115","1,434","112,648","1,660","92,201",986,"1,988","1,790","11,065",406,0,928
"$75,000 under $100,000",781,"1,722",532,"66,976",662,"49,139",542,"1,704",767,"7,817",221,0,577
"$100,000 or more     ","1,768","4,401","1,485","715,899","1,407","315,253","1,544","29,626","1,764","148,755",531,*         ,"1,683"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90005,"12,475","25,196","9,288","458,516","10,061","299,058","2,736","7,704","8,419","58,818","3,313",*         ,"1,891"
"Under $10,000        ","3,127","4,718","1,189","9,121","1,844","10,978",362,476,"1,518","1,061","1,272",*         ,62
"$10,000 under $25,000","4,746","10,234","4,351","80,574","4,082","67,452",607,722,"2,897","3,484","1,058",0,248
"$25,000 under $50,000","2,974","6,592","2,576","102,616","2,761","91,637",768,827,"2,407","6,819",544,0,520
"$50,000 under $75,000",830,"1,778",585,"50,169",725,"40,357",398,703,807,"5,221",195,0,390
"$75,000 under $100,000",282,598,178,"24,078",234,"17,217",187,769,279,"2,983",79,0,196
"$100,000 or more     ",516,"1,276",409,"191,958",415,"71,417",414,"4,207",511,"39,250",165,0,475
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90006,"18,156","39,848","16,861","389,338","14,767","320,589","2,813","2,895","11,195","24,176","4,599",*         ,"1,661"
"Under $10,000        ","4,886","7,746","2,258","25,859","2,876","16,726",431,302,"2,510","1,714","2,115",0,74
"$10,000 under $25,000","8,143","18,619","8,526","138,089","7,085","116,720",952,611,"4,650","5,339","1,678",*         ,372
"$25,000 under $50,000","4,077","10,647","4,903","137,571","3,852","125,619",901,713,"3,019","7,069",585,0,673
"$50,000 under $75,000",723,"1,997",861,"43,264",672,"37,501",313,431,696,"3,630",125,0,306
"$75,000 under $100,000",175,471,186,"14,946",161,"11,905",105,165,172,"1,620",44,0,112
"$100,000 or more     ",152,368,127,"29,609",121,"12,118",111,673,148,"4,804",52,*         ,124
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90007,"11,556","23,814","9,952","256,097","10,020","222,284","2,029","1,866","6,751","17,367","1,988",0,"1,902"
"Under $10,000        ","3,339","4,837","1,281","13,118","2,479","13,292",312,142,"1,278",716,827,0,362
"$10,000 under $25,000","4,764","10,209","4,638","80,977","4,255","71,044",628,316,"2,755","3,027",762,0,499
"$25,000 under $50,000","2,596","6,521","3,098","88,550","2,489","82,724",614,401,"1,898","4,470",282,0,557
"$50,000 under $75,000",589,"1,565",682,"35,328",561,"32,309",281,258,554,"2,968",66,0,285
"$75,000 under $100,000",138,352,133,"11,708",128,"10,006",84,93,136,"1,315",18,0,86
"$100,000 or more     ",130,330,120,"26,416",108,"12,909",110,656,130,"4,871",33,0,113
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90008,"12,491","23,652","8,946","497,577","10,132","371,407","4,245","7,360","8,652","46,513","2,294",0,"4,485"
"Under $10,000        ","2,240","3,448","1,105","8,115","1,571","9,736",377,345,679,416,555,0,117
"$10,000 under $25,000","3,623","6,983","3,007","61,574","2,917","48,240",635,784,"2,099","2,146",656,0,487
"$25,000 under $50,000","3,496","6,753","2,790","124,448","3,047","105,027","1,052","1,149","2,833","7,253",451,0,"1,311"
"$50,000 under $75,000","1,513","2,910","1,005","92,171","1,244","68,287",873,"1,253","1,445","8,259",269,0,"1,082"
"$75,000 under $100,000",720,"1,445",425,"62,007",593,"44,476",531,746,701,"6,161",143,0,622
"$100,000 or more     ",899,"2,113",614,"149,262",760,"95,641",777,"3,083",895,"22,278",220,0,866
