,,      Number of Exemptions      ,,,Salaries and Wages   ,,Taxable Interest,,Total Tax,, Schedule C ,Schedule F  , Schedule A 
,,,,Adjusted,,,,,,,,,
Adjusted Gross,Number of,,Dependent,Gross,Number of,,Number of,,Number of,,Number of,Number of,Number of
Income Size,Returns,Total,Exemptions,Income,Returns,Amount,Returns,Amount,Returns,Amount,Returns,Returns,Returns
,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-13,-14,-15
CALIFORNIA           ,"14,412,018","29,751,270","10,577,232","757,081,209","12,116,908","561,982,779","7,121,218","18,564,538","10,429,192","103,450,780","2,395,396","68,098","5,780,960"
"Under $10,000        ","2,510,506","2,838,395","777,790","186,214","1,819,150","10,711,138","705,143","1,420,729","581,257","134,744","432,602","12,155","186,998"
"$10,000 under $25,000","3,657,105","6,900,724","2,559,649","62,519,648","2,988,652","48,211,180","1,079,728","1,609,616","2,188,684","1,932,739","498,955","9,045","499,018"
"$25,000 under $50,000","3,617,683","7,832,826","2,920,014","130,808,559","3,181,930","108,004,053","1,666,247","2,248,541","3,094,891","8,643,833","503,442","12,147","1,320,964"
"$50,000 or more      ","4,626,724","12,179,325","4,319,779","563,566,788","4,127,176","395,056,408","3,670,100","13,285,652","4,564,360","92,739,464","960,397","34,751","3,773,980"
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90000,37,77,31,883,32,596,11,8,17,63,**        ,--        ,**        
"Under $10,000        ",13,27,12,89,**        ,**          ,*       11,*        8,**        ,**          ,**        ,--        ,**        
"$10,000 under $25,000",14,33,14,236,*       22,*        282,**        ,**        ,**        ,**          ,**        ,--        ,**        
"$25,000 under $50,000",*       10,*       17,*        5,*        558,*       10,*        314,**        ,**        ,*       17,*         63,--        ,--        ,**        
"$50,000 or more      ",**        ,**        ,**        ,**          ,**        ,**          ,**        ,**        ,**        ,**          ,**        ,--        ,**        
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          
90001,"16,239","42,154","21,525","347,829","14,593","313,120","2,820","1,892","6,614","12,232","2,076",**        ,"2,879"
"Under $10,000        ","3,506","6,254","2,713","19,607","2,732","15,804",289,170,464,74,793,--        ,81
"$10,000 under $25,000","7,812","20,386","10,673","132,276","7,107","117,212",987,390,"2,581","1,813",909,--        ,813
"$25,000 under $50,000","4,135","12,878","6,808","141,647","4,000","133,641","1,126",440,"2,821","5,149",301,**        ,"1,459"
